Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Nigeria,NGA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15000,15550,16100,16650,17200,17750,18300,18850,19400,20006,21000,22000,23000,23000,23999,24800,..,..,..,..,..,..,..,..,..
Nigeria,NGA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,213.507755133099,1086.44940428055,311.230782108876,225.687257484352,452.921607378129,304.641798418972,..,..
Nigeria,NGA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,4.52888235294118,6.141,4.54511428571429,7.19733333333333,10.0388858695652,4.20505405405405,5.87683333333333,5.26103125,12.2136666666667,6.56129411764706,11.3833428571429,16.1772941176471,10.8810882352941,..,..
Nigeria,NGA,Agricultural land (sq. km),AG.LND.AGRI.K2,644470,650650,662160,684000,686000,688000,696500,709000,713000,695000,706000,717500,718000,727000,733000,737000,727000,690000,700000,710000,720000,708000,708000,..,..
Nigeria,NGA,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.7610044248273,71.4395511490278,72.7033169735499,75.1012879212095,75.3208823303359,75.5404767394622,76.4737529782492,77.8462180352888,78.2854068535415,76.3090571714044,77.5168264215993,78.7794942740758,78.8343928763574,79.8225677174259,80.4813509448049,80.9205397630576,79.8225677174259,75.7600711485886,76.8580431942203,77.956015239852,79.0539872854837,77.7364208307256,77.7364208307256,..,..
Nigeria,NGA,Arable land (hectares),AG.LND.ARBL.HA,30100000,30100000,31000000,32900000,33100000,33200000,34000000,35000000,35000000,33000000,34000000,35000000,35000000,36000000,36800000,37000000,36000000,32000000,33000000,34000000,35000000,34000000,34000000,..,..
Nigeria,NGA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.300334569717297,0.292910580131591,0.294241085940199,0.304597294370556,0.298917474430184,0.292452509830522,0.292131983511727,0.293311476767724,0.28605987172634,0.263024842760162,0.264248615667565,0.265206700245725,0.258505541354328,0.259105622953327,0.258039012609792,0.252702855099691,0.239445460277029,0.207250958456345,0.208099141659776,0.208746380000093,0.209208417274724,0.197870790408781,0.192677679223649,..,..
Nigeria,NGA,Arable land (% of land area),AG.LND.ARBL.ZS,33.0489585735147,33.0489585735147,34.0371334145833,36.1232803012835,36.3428747104099,36.452671914973,37.3310495514784,38.4290215971101,38.4290215971101,36.2330775058467,37.3310495514784,38.4290215971101,38.4290215971101,39.5269936427419,40.4053712792472,40.6249656883736,39.5269936427419,35.135105460215,36.2330775058467,37.3310495514784,38.4290215971101,37.3310495514784,37.3310495514784,..,..
Nigeria,NGA,Land under cereal production (hectares),AG.LND.CREL.HA,16836000,17423700,17993000,18598000,17752600,18476000,18339000,18079200,18242000,16286000,17027000,17371000,17716000,18310000,19147000,19410000,18899000,13890000,16136703,15510827,15304787,15885500,16209449,..,..
Nigeria,NGA,Permanent cropland (% of land area),AG.LND.CROP.ZS,4.83107700077956,5.27026581903225,5.38006302359542,5.70945463728493,5.70945463728493,5.81925184184811,5.87415044412969,6.14864345553762,6.58783227379031,6.80742668291665,6.91722388747982,7.08191969432458,7.13681829660617,7.027021092043,6.80742668291665,7.027021092043,7.027021092043,7.35641270573251,7.35641270573251,7.35641270573251,7.35641270573251,7.13681829660617,7.13681829660617,..,..
